Date,Description,Type,Avance,Remboursement,Solde
2026-03-16,Virement reçu PHILIPPEBELIVEAU CAGyBqvD,remboursement,,210.00,-210.00
2026-03-27,Remboursement partiel MacBook Pro - virement vers compte personnel RBC,avance,2000.00,,1790.00
2026-03-27,Depot personnel verse par erreur au compte corporatif,remboursement,,900.00,890.00
2026-03-30,Remboursement final MacBook Pro - virement vers compte personnel RBC,avance,750.00,,1640.00
2026-04-04,Retour partiel au compte personnel d'un depot errone,avance,895.08,,2535.08
TOTAL,,,3645.08,1110.00,2535.08
